@RenateKuenast
@agnieszka_mdb
@Axel_Fischer
@MatthiasHeider
@mschlecht
@HeikeBrehmerMdB
@markuskurthmdb
@JensKoeppen
@IreneMihalic
@gruenenrw
@SevimDagdelen
@Sonjasteffen
@anjaweisgerber
@Luise_Amtsberg
@NiemaMovassat
@TinoSorge
@KaiGehring
@UteVogt
@stephankuehn
@GittaConnemann
@dieschmidt
@MichaelLeutert
@Oliver_Krischer
@AndrejHunko
@JoSteiniger
@charlesmhuber49
@fjunge
@ctausend
@AxelTroost
@RosemarieHein
@OezcanMutlu
@Markus_Tressel
@PeterbeyerCDU
@MartinaRenner
@BrigittePothmer
@UlrichLange
@fuchtel
@KarinStrenz
@ninawarken
@PriskaHinz
@zierke
@steffenkanitz
@bundestagde
@W_Priesmeier
@Manfredbehrens
@EhrmannS
@KEESdeVriesCDU
@olavgutting
@stephanharbarth
@Wellenreuther
@PeterWeissMdB
@CarstenMuellers
@schwarz_spd
@GrueneBeate
@matthiaszimmer
@ebner_sha
@marcobuelow
@demokratie_plus)
@karllamers
@StefanKaufmann
@thomasgebhart
@rischwasu
@DrAndreasNick
@drthomasfeist
@waltraud_wolff
@Klimke_CDU
@UweFe
@Conni_SH
@BeateWaRo
@UweKekeritz
@MartinRabanus
@vdleyen
@mfrieser
@FrankHeinrich
@PatrickSensburg
@RKiesewetter
@DieReserve
@NielsAnnen
@terpeundteam
@TSchipanski
@KerstinGriese
@EckhardtRehberg
@jopf
@edrossmann
@HiltrudLotze
@kerstin_tack
@ChristianHirte
@MechthildRawert
@LischkaB
@BurkertMartin
@SoenkeRix
@franzthoennes
@EvaHoegl
@meister_schafft
@Erwin_Rueddel
@VolkmarKlein
@fbrantner
@Brunnerkarl
@SPDuesseldorf
@FrankSchwabe
@MartinRosemann
@VolkerUllrich
@franksteffel
@fuechseberlin
@michaelaengel
@Elke_Ferner
@SCLemme
@GabiHillerOhm
@Team_GLoetzsch
@SteffenBilger
@AMattfeldt
@CanselK
@kirstenluehmann
@JM_Luczak
@karinbinder
@ekindeligoez
@swenschulz
@marlenemortler
@voglerk
@Diether_Dehm
@RuedigerKruse
@UlrichKelber
@W_SK
@gero_storjohann
@WHellmich
@katjadoerner
@PeterMeiwald
@manfred_grund
@NicoleMaisch
@DennisRohde
@MariaKlSchmeink
@smuellermdb
@ManuelSarrazin
@K_SA
@larscastellucci
@hdwm_mannheim
@ulle_schauws
@SteffiLemke
@wanderwitz
@guenterbaumann
@brunkhorst
@larsklingbeil
@katdro
@michaelvietz
